Date,PAPEL,VALE3,PETR4,BVSP
16/11/2020,VALE3,64919998,,
17/11/2020,VALE3,66970001,,
18/11/2020,VALE3,66449997,,
19/11/2020,VALE3,67720001,,
23/11/2020,VALE3,71290001,,
24/11/2020,VALE3,74800003,,
25/11/2020,VALE3,75500000,,
26/11/2020,VALE3,76570000,,
27/11/2020,VALE3,78440002,,
30/11/2020,VALE3,78000000,,
01/12/2020,VALE3,81250000,,
02/12/2020,VALE3,79839996,,
03/12/2020,VALE3,78959999,,
04/12/2020,VALE3,81980003,,
07/12/2020,VALE3,82949997,,
08/12/2020,VALE3,82900002,,
09/12/2020,VALE3,82699997,,
10/12/2020,VALE3,85000000,,
11/12/2020,VALE3,84860001,,
14/12/2020,VALE3,83550003,,
15/12/2020,VALE3,84500000,,
16/12/2020,VALE3,86220001,,
17/12/2020,VALE3,87199997,,
18/12/2020,VALE3,87800003,,
21/12/2020,VALE3,86860001,,
22/12/2020,VALE3,86940002,,
23/12/2020,VALE3,87360001,,
28/12/2020,VALE3,87309998,,
29/12/2020,VALE3,87070000,,
30/12/2020,VALE3,87449997,,
04/01/2021,VALE3,91459999,,
05/01/2021,VALE3,93000000,,
06/01/2021,VALE3,96050003,,
07/01/2021,VALE3,102320000,,
08/01/2021,VALE3,102000000,,
11/01/2021,VALE3,101980003,,
13/01/2021,VALE3,96220001,,
14/01/2021,VALE3,97800003,,
15/01/2021,VALE3,93550003,,
18/01/2021,VALE3,94309998,,
19/01/2021,VALE3,94059998,,
20/01/2021,VALE3,92320000,,
21/01/2021,VALE3,93360001,,
22/01/2021,VALE3,93169998,,
26/01/2021,VALE3,91750000,,
27/01/2021,VALE3,89199997,,
28/01/2021,VALE3,91099998,,
29/01/2021,VALE3,87949997,,
01/02/2021,VALE3,91269997,,
02/02/2021,VALE3,87660004,,
03/02/2021,VALE3,90430000,,
04/02/2021,VALE3,89290001,,
05/02/2021,VALE3,92690002,,
08/02/2021,VALE3,94010002,,
09/02/2021,VALE3,94250000,,
10/02/2021,VALE3,94699997,,
11/02/2021,VALE3,93099998,,
18/02/2021,VALE3,97400002,,
19/02/2021,VALE3,97769997,,
22/02/2021,VALE3,95349998,,
23/02/2021,VALE3,96949997,,
24/02/2021,VALE3,97930000,,
25/02/2021,VALE3,95709999,,
26/02/2021,VALE3,94519997,,
01/03/2021,VALE3,98570000,,
02/03/2021,VALE3,101599998,,
03/03/2021,VALE3,100349998,,
04/03/2021,VALE3,98860001,,
05/03/2021,VALE3,100209999,,
08/03/2021,VALE3,99669998,,
09/03/2021,VALE3,98669998,,
10/03/2021,VALE3,97150002,,
11/03/2021,VALE3,99699997,,
15/03/2021,VALE3,96820000,,
16/03/2021,VALE3,96510002,,
17/03/2021,VALE3,97900002,,
18/03/2021,VALE3,96160004,,
19/03/2021,VALE3,94779999,,
22/03/2021,VALE3,93209999,,
23/03/2021,VALE3,91059998,,
24/03/2021,VALE3,93150002,,
25/03/2021,VALE3,92440002,,
26/03/2021,VALE3,95529999,,
29/03/2021,VALE3,97980003,,
30/03/2021,VALE3,97070000,,
31/03/2021,VALE3,97970001,,
01/04/2021,VALE3,97389999,,
05/04/2021,VALE3,103389999,,
06/04/2021,VALE3,102050003,,
07/04/2021,VALE3,104559998,,
08/04/2021,VALE3,104500000,,
09/04/2021,VALE3,103000000,,
13/04/2021,VALE3,103580002,,
14/04/2021,VALE3,107000000,,
15/04/2021,VALE3,108209999,,
16/04/2021,VALE3,108669998,,
19/04/2021,VALE3,107730003,,
20/04/2021,VALE3,106160004,,
22/04/2021,VALE3,106230003,,
23/04/2021,VALE3,107989998,,
26/04/2021,VALE3,108570000,,
27/04/2021,VALE3,110120003,,
28/04/2021,VALE3,111919998,,
29/04/2021,VALE3,111949997,,
30/04/2021,VALE3,109019997,,
03/05/2021,VALE3,108459999,,
04/05/2021,VALE3,110099998,,
05/05/2021,VALE3,110709999,,
06/05/2021,VALE3,115050003,,
07/05/2021,VALE3,115449997,,
10/05/2021,VALE3,114690002,,
11/05/2021,VALE3,118720001,,
13/05/2021,VALE3,112489998,,
14/05/2021,VALE3,110559998,,
17/05/2021,VALE3,113459999,,
18/05/2021,VALE3,114599998,,
19/05/2021,VALE3,112250000,,
20/05/2021,VALE3,111110001,,
21/05/2021,VALE3,109400002,,
24/05/2021,VALE3,109779999,,
25/05/2021,VALE3,107050003,,
26/05/2021,VALE3,110199997,,
27/05/2021,VALE3,110989998,,
28/05/2021,VALE3,111589996,,
31/05/2021,VALE3,114779999,,
01/06/2021,VALE3,113199997,,
02/06/2021,VALE3,114800003,,
04/06/2021,VALE3,112900002,,
07/06/2021,VALE3,111800003,,
08/06/2021,VALE3,109919998,,
09/06/2021,VALE3,112199997,,
10/06/2021,VALE3,111830002,,
11/06/2021,VALE3,114339996,,
14/06/2021,VALE3,113720001,,
15/06/2021,VALE3,111500000,,
16/06/2021,VALE3,108150002,,
17/06/2021,VALE3,105900002,,
18/06/2021,VALE3,109089996,,
21/06/2021,VALE3,110110001,,
22/06/2021,VALE3,111400002,,
23/06/2021,VALE3,113070000,,
24/06/2021,VALE3,111029999,,
25/06/2021,VALE3,112400002,,
28/06/2021,VALE3,110599998,,
29/06/2021,VALE3,112510002,,
30/06/2021,VALE3,113250000,,
01/07/2021,VALE3,111279999,,
02/07/2021,VALE3,113580002,,
05/07/2021,VALE3,113169998,,
06/07/2021,VALE3,113769997,,
07/07/2021,VALE3,114099998,,
08/07/2021,VALE3,113660004,,
13/07/2021,VALE3,115750000,,
14/07/2021,VALE3,115120003,,
15/07/2021,VALE3,115480003,,
16/07/2021,VALE3,113400002,,
19/07/2021,VALE3,112160004,,
20/07/2021,VALE3,113099998,,
21/07/2021,VALE3,114400002,,
22/07/2021,VALE3,114699997,,
23/07/2021,VALE3,114120003,,
26/07/2021,VALE3,116599998,,
27/07/2021,VALE3,114180000,,
28/07/2021,VALE3,117300003,,
29/07/2021,VALE3,115570000,,
30/07/2021,VALE3,108760002,,
02/08/2021,VALE3,108930000,,
03/08/2021,VALE3,112639999,,
04/08/2021,VALE3,112519997,,
05/08/2021,VALE3,109080002,,
06/08/2021,VALE3,109699997,,
09/08/2021,VALE3,109010002,,
10/08/2021,VALE3,110059998,,
11/08/2021,VALE3,109269997,,
13/08/2021,VALE3,108300003,,
16/08/2021,VALE3,108800003,,
17/08/2021,VALE3,107000000,,
18/08/2021,VALE3,103410004,,
19/08/2021,VALE3,97510002,,
20/08/2021,VALE3,97550003,,
23/08/2021,VALE3,96199997,,
24/08/2021,VALE3,99709999,,
25/08/2021,VALE3,99500000,,
26/08/2021,VALE3,98230003,,
27/08/2021,VALE3,100690002,,
30/08/2021,VALE3,100050003,,
31/08/2021,VALE3,98680000,,
01/09/2021,VALE3,98849998,,
02/09/2021,VALE3,98540001,,
03/09/2021,VALE3,98610001,,
06/09/2021,VALE3,97059998,,
08/09/2021,VALE3,95040001,,
09/09/2021,VALE3,94699997,,
10/09/2021,VALE3,94809998,,
13/09/2021,VALE3,94760002,,
14/09/2021,VALE3,94089996,,
15/09/2021,VALE3,91739998,,
16/09/2021,VALE3,87930000,,
17/09/2021,VALE3,86150002,,
20/09/2021,VALE3,82750000,,
21/09/2021,VALE3,84120003,,
22/09/2021,VALE3,87110001,,
23/09/2021,VALE3,78910004,,
24/09/2021,VALE3,77690002,,
27/09/2021,VALE3,78800003,,
28/09/2021,VALE3,74849998,,
29/09/2021,VALE3,75800003,,
30/09/2021,VALE3,76239998,,
01/10/2021,VALE3,76199997,,
04/10/2021,VALE3,75489998,,
05/10/2021,VALE3,74949997,,
06/10/2021,VALE3,77059998,,
07/10/2021,VALE3,79360001,,
08/10/2021,VALE3,79849998,,
11/10/2021,VALE3,81620003,,
13/10/2021,VALE3,79199997,,
14/10/2021,VALE3,79199997,,
15/10/2021,VALE3,80680000,,
18/10/2021,VALE3,79919998,,
19/10/2021,VALE3,79000000,,
20/10/2021,VALE3,76669998,,
21/10/2021,VALE3,75160004,,
22/10/2021,VALE3,76080002,,
25/10/2021,VALE3,77000000,,
26/10/2021,VALE3,76180000,,
27/10/2021,VALE3,74449997,,
28/10/2021,VALE3,73699997,,
29/10/2021,VALE3,71610001,,
01/11/2021,VALE3,72320000,,
03/11/2021,VALE3,66830002,,
04/11/2021,VALE3,66070000,,
05/11/2021,VALE3,64110001,,
08/11/2021,VALE3,67599998,,
09/11/2021,VALE3,65940002,,
10/11/2021,VALE3,65690002,,
11/11/2021,VALE3,68010002,,
12/11/2021,VALE3,68300003,,
16/11/2020,PETR4,,23290001,
17/11/2020,PETR4,,23690001,
18/11/2020,PETR4,,23549999,
19/11/2020,PETR4,,23820000,
23/11/2020,PETR4,,25100000,
24/11/2020,PETR4,,26219999,
25/11/2020,PETR4,,26250000,
26/11/2020,PETR4,,25820000,
27/11/2020,PETR4,,25500000,
30/11/2020,PETR4,,24900000,
01/12/2020,PETR4,,25600000,
02/12/2020,PETR4,,25910000,
03/12/2020,PETR4,,26639999,
04/12/2020,PETR4,,27530001,
07/12/2020,PETR4,,27000000,
08/12/2020,PETR4,,26660000,
09/12/2020,PETR4,,26940001,
10/12/2020,PETR4,,27820000,
11/12/2020,PETR4,,27570000,
14/12/2020,PETR4,,27620001,
15/12/2020,PETR4,,27850000,
16/12/2020,PETR4,,28190001,
17/12/2020,PETR4,,28240000,
18/12/2020,PETR4,,28100000,
21/12/2020,PETR4,,27020000,
22/12/2020,PETR4,,27280001,
23/12/2020,PETR4,,27950001,
28/12/2020,PETR4,,28180000,
29/12/2020,PETR4,,28270000,
30/12/2020,PETR4,,28340000,
04/01/2021,PETR4,,28910000,
05/01/2021,PETR4,,30040001,
06/01/2021,PETR4,,30100000,
07/01/2021,PETR4,,31000000,
08/01/2021,PETR4,,31120001,
11/01/2021,PETR4,,30860001,
13/01/2021,PETR4,,29150000,
14/01/2021,PETR4,,29450001,
15/01/2021,PETR4,,28120001,
18/01/2021,PETR4,,28070000,
19/01/2021,PETR4,,28690001,
20/01/2021,PETR4,,28209999,
21/01/2021,PETR4,,27549999,
22/01/2021,PETR4,,27090000,
26/01/2021,PETR4,,27000000,
27/01/2021,PETR4,,27400000,
28/01/2021,PETR4,,27760000,
29/01/2021,PETR4,,26690001,
01/02/2021,PETR4,,27530001,
02/02/2021,PETR4,,28660000,
03/02/2021,PETR4,,28940001,
04/02/2021,PETR4,,28820000,
05/02/2021,PETR4,,28840000,
08/02/2021,PETR4,,28110001,
09/02/2021,PETR4,,27540001,
10/02/2021,PETR4,,27799999,
11/02/2021,PETR4,,28080000,
18/02/2021,PETR4,,29270000,
19/02/2021,PETR4,,27330000,
22/02/2021,PETR4,,21670000,
23/02/2021,PETR4,,24059999,
24/02/2021,PETR4,,24400000,
25/02/2021,PETR4,,23190001,
26/02/2021,PETR4,,22240000,
01/03/2021,PETR4,,22000000,
02/03/2021,PETR4,,21990000,
03/03/2021,PETR4,,21190001,
04/03/2021,PETR4,,22219999,
05/03/2021,PETR4,,22389999,
08/03/2021,PETR4,,21100000,
09/03/2021,PETR4,,21590000,
10/03/2021,PETR4,,22340000,
11/03/2021,PETR4,,23290001,
15/03/2021,PETR4,,23650000,
16/03/2021,PETR4,,23280001,
17/03/2021,PETR4,,24080000,
18/03/2021,PETR4,,23240000,
19/03/2021,PETR4,,24000000,
22/03/2021,PETR4,,23520000,
23/03/2021,PETR4,,22799999,
24/03/2021,PETR4,,22820000,
25/03/2021,PETR4,,23200001,
26/03/2021,PETR4,,23459999,
29/03/2021,PETR4,,23830000,
30/03/2021,PETR4,,23830000,
31/03/2021,PETR4,,24100000,
01/04/2021,PETR4,,23889999,
05/04/2021,PETR4,,24040001,
06/04/2021,PETR4,,24020000,
07/04/2021,PETR4,,24000000,
08/04/2021,PETR4,,23700001,
09/04/2021,PETR4,,23650000,
13/04/2021,PETR4,,23969999,
14/04/2021,PETR4,,24350000,
15/04/2021,PETR4,,23090000,
16/04/2021,PETR4,,22950001,
19/04/2021,PETR4,,24280001,
20/04/2021,PETR4,,23820000,
22/04/2021,PETR4,,23709999,
23/04/2021,PETR4,,23690001,
26/04/2021,PETR4,,23780001,
27/04/2021,PETR4,,23100000,
28/04/2021,PETR4,,23940001,
29/04/2021,PETR4,,23620001,
30/04/2021,PETR4,,23620001,
03/05/2021,PETR4,,23430000,
04/05/2021,PETR4,,22889999,
05/05/2021,PETR4,,23830000,
06/05/2021,PETR4,,23500000,
07/05/2021,PETR4,,24379999,
10/05/2021,PETR4,,24700001,
11/05/2021,PETR4,,25150000,
13/05/2021,PETR4,,24990000,
14/05/2021,PETR4,,26299999,
17/05/2021,PETR4,,26660000,
18/05/2021,PETR4,,26350000,
19/05/2021,PETR4,,26150000,
20/05/2021,PETR4,,25930000,
21/05/2021,PETR4,,25950001,
24/05/2021,PETR4,,26389999,
25/05/2021,PETR4,,25840000,
26/05/2021,PETR4,,26090000,
27/05/2021,PETR4,,25910000,
28/05/2021,PETR4,,26990000,
31/05/2021,PETR4,,26870001,
01/06/2021,PETR4,,27290001,
02/06/2021,PETR4,,27870001,
04/06/2021,PETR4,,28500000,
07/06/2021,PETR4,,28290001,
08/06/2021,PETR4,,28660000,
09/06/2021,PETR4,,28660000,
10/06/2021,PETR4,,28680000,
11/06/2021,PETR4,,28570000,
14/06/2021,PETR4,,28750000,
15/06/2021,PETR4,,29030001,
16/06/2021,PETR4,,29139999,
17/06/2021,PETR4,,28129999,
18/06/2021,PETR4,,28320000,
21/06/2021,PETR4,,28950001,
22/06/2021,PETR4,,29100000,
23/06/2021,PETR4,,29299999,
24/06/2021,PETR4,,29650000,
25/06/2021,PETR4,,29100000,
28/06/2021,PETR4,,29049999,
29/06/2021,PETR4,,29180000,
30/06/2021,PETR4,,29430000,
01/07/2021,PETR4,,29059999,
02/07/2021,PETR4,,29180000,
05/07/2021,PETR4,,28850000,
06/07/2021,PETR4,,27670000,
07/07/2021,PETR4,,28049999,
08/07/2021,PETR4,,27490000,
13/07/2021,PETR4,,27900000,
14/07/2021,PETR4,,27670000,
15/07/2021,PETR4,,27080000,
16/07/2021,PETR4,,26680000,
19/07/2021,PETR4,,26240000,
20/07/2021,PETR4,,26590000,
21/07/2021,PETR4,,26959999,
22/07/2021,PETR4,,26900000,
23/07/2021,PETR4,,26740000,
26/07/2021,PETR4,,27469999,
27/07/2021,PETR4,,27150000,
28/07/2021,PETR4,,27709999,
29/07/2021,PETR4,,27809999,
30/07/2021,PETR4,,26910000,
02/08/2021,PETR4,,26410000,
03/08/2021,PETR4,,26850000,
04/08/2021,PETR4,,26280001,
05/08/2021,PETR4,,28350000,
06/08/2021,PETR4,,28389999,
09/08/2021,PETR4,,28190001,
10/08/2021,PETR4,,28280001,
11/08/2021,PETR4,,28670000,
13/08/2021,PETR4,,29350000,
16/08/2021,PETR4,,28639999,
17/08/2021,PETR4,,27030001,
18/08/2021,PETR4,,26790001,
19/08/2021,PETR4,,26639999,
20/08/2021,PETR4,,26600000,
23/08/2021,PETR4,,27020000,
24/08/2021,PETR4,,27580000,
25/08/2021,PETR4,,27730000,
26/08/2021,PETR4,,27490000,
27/08/2021,PETR4,,28490000,
30/08/2021,PETR4,,28299999,
31/08/2021,PETR4,,27190001,
01/09/2021,PETR4,,27040001,
02/09/2021,PETR4,,26600000,
03/09/2021,PETR4,,26330000,
06/09/2021,PETR4,,26459999,
08/09/2021,PETR4,,24969999,
09/09/2021,PETR4,,25500000,
10/09/2021,PETR4,,25340000,
13/09/2021,PETR4,,26230000,
14/09/2021,PETR4,,25879999,
15/09/2021,PETR4,,26330000,
16/09/2021,PETR4,,26100000,
17/09/2021,PETR4,,24930000,
20/09/2021,PETR4,,24650000,
21/09/2021,PETR4,,25209999,
22/09/2021,PETR4,,25850000,
23/09/2021,PETR4,,26840000,
24/09/2021,PETR4,,26900000,
27/09/2021,PETR4,,27139999,
28/09/2021,PETR4,,26959999,
29/09/2021,PETR4,,27389999,
30/09/2021,PETR4,,27230000,
01/10/2021,PETR4,,28000000,
04/10/2021,PETR4,,28790001,
05/10/2021,PETR4,,29420000,
06/10/2021,PETR4,,28639999,
07/10/2021,PETR4,,28600000,
08/10/2021,PETR4,,29120001,
11/10/2021,PETR4,,29320000,
13/10/2021,PETR4,,29629999,
14/10/2021,PETR4,,29680000,
15/10/2021,PETR4,,29600000,
18/10/2021,PETR4,,29450001,
19/10/2021,PETR4,,28010000,
20/10/2021,PETR4,,28500000,
21/10/2021,PETR4,,27450001,
22/10/2021,PETR4,,27180000,
25/10/2021,PETR4,,29040001,
26/10/2021,PETR4,,28760000,
27/10/2021,PETR4,,28690001,
28/10/2021,PETR4,,28959999,
29/10/2021,PETR4,,27150000,
01/11/2021,PETR4,,28000000,
03/11/2021,PETR4,,26850000,
04/11/2021,PETR4,,26000000,
05/11/2021,PETR4,,25850000,
08/11/2021,PETR4,,26120001,
09/11/2021,PETR4,,26639999,
10/11/2021,PETR4,,26430000,
11/11/2021,PETR4,,26450001,
12/11/2021,PETR4,,26990000,
16/11/2020,PETR4,,1,06E+11,
17/11/2020,PETR4,,1,07E+11,
18/11/2020,PETR4,,1,06E+11,
19/11/2020,PETR4,,1,07E+11,
23/11/2020,PETR4,,1,07E+11,
24/11/2020,PETR4,,1,10E+11,
25/11/2020,PETR4,,1,10E+11,
26/11/2020,PETR4,,1,10E+11,
27/11/2020,PETR4,,1,11E+11,
30/11/2020,PETR4,,1,09E+11,
01/12/2020,PETR4,,1,11E+11,
02/12/2020,PETR4,,1,12E+11,
03/12/2020,PETR4,,1,13E+11,
04/12/2020,PETR4,,1,14E+11,
07/12/2020,PETR4,,1,14E+11,
08/12/2020,PETR4,,1,14E+11,
09/12/2020,PETR4,,1,13E+11,
10/12/2020,PETR4,,1,15E+11,
11/12/2020,PETR4,,1,15E+11,
14/12/2020,PETR4,,1,15E+11,
15/12/2020,PETR4,,1,16E+11,
16/12/2020,PETR4,,1,18E+11,
17/12/2020,PETR4,,1,18E+11,
18/12/2020,PETR4,,1,18E+11,
21/12/2020,PETR4,,1,16E+11,
22/12/2020,PETR4,,1,16E+11,
23/12/2020,PETR4,,1,18E+11,
28/12/2020,PETR4,,1,19E+11,
29/12/2020,PETR4,,1,19E+11,
30/12/2020,PETR4,,1,19E+11,
04/01/2021,BVSP,,,1,19E+11
05/01/2021,BVSP,,,1,19E+11
06/01/2021,BVSP,,,1,20E+11
07/01/2021,BVSP,,,1,22E+11
08/01/2021,BVSP,,,1,25E+11
11/01/2021,BVSP,,,1,23E+11
13/01/2021,BVSP,,,1,22E+11
14/01/2021,BVSP,,,1,23E+11
15/01/2021,BVSP,,,1,21E+11
18/01/2021,BVSP,,,1,21E+11
19/01/2021,BVSP,,,1,21E+11
20/01/2021,BVSP,,,1,20E+11
21/01/2021,BVSP,,,1,18E+11
22/01/2021,BVSP,,,1,17E+11
26/01/2021,BVSP,,,1,16E+11
27/01/2021,BVSP,,,1,16E+11
28/01/2021,BVSP,,,1,19E+11
29/01/2021,BVSP,,,1,16E+11
01/02/2021,BVSP,,,1,17E+11
02/02/2021,BVSP,,,1,18E+11
03/02/2021,BVSP,,,1,20E+11
04/02/2021,BVSP,,,1,19E+11
05/02/2021,BVSP,,,1,20E+11
08/02/2021,BVSP,,,1,20E+11
09/02/2021,BVSP,,,1,19E+11
10/02/2021,BVSP,,,1,18E+11
11/02/2021,BVSP,,,1,19E+11
18/02/2021,BVSP,,,1,19E+11
19/02/2021,BVSP,,,1,19E+11
22/02/2021,BVSP,,,1,13E+11
23/02/2021,BVSP,,,1,15E+11
24/02/2021,BVSP,,,1,16E+11
25/02/2021,BVSP,,,1,12E+11
26/02/2021,BVSP,,,1,10E+11
01/03/2021,BVSP,,,1,10E+11
02/03/2021,BVSP,,,1,12E+11
03/03/2021,BVSP,,,1,11E+11
04/03/2021,BVSP,,,1,13E+11
05/03/2021,BVSP,,,1,15E+11
08/03/2021,BVSP,,,1,11E+11
09/03/2021,BVSP,,,1,11E+11
10/03/2021,BVSP,,,1,13E+11
11/03/2021,BVSP,,,1,15E+11
15/03/2021,BVSP,,,1,15E+11
16/03/2021,BVSP,,,1,14E+11
17/03/2021,BVSP,,,1,17E+11
18/03/2021,BVSP,,,1,15E+11
19/03/2021,BVSP,,,1,16E+11
22/03/2021,BVSP,,,1,15E+11
23/03/2021,BVSP,,,1,13E+11
24/03/2021,BVSP,,,1,12E+11
25/03/2021,BVSP,,,1,14E+11
26/03/2021,BVSP,,,1,15E+11
29/03/2021,BVSP,,,1,15E+11
30/03/2021,BVSP,,,1,17E+11
31/03/2021,BVSP,,,1,17E+11
01/04/2021,BVSP,,,1,15E+11
05/04/2021,BVSP,,,1,18E+11
06/04/2021,BVSP,,,1,17E+11
07/04/2021,BVSP,,,1,18E+11
08/04/2021,BVSP,,,1,18E+11
09/04/2021,BVSP,,,1,18E+11
13/04/2021,BVSP,,,1,19E+11
14/04/2021,BVSP,,,1,20E+11
15/04/2021,BVSP,,,1,21E+11
16/04/2021,BVSP,,,1,21E+11
19/04/2021,BVSP,,,1,21E+11
20/04/2021,BVSP,,,1,20E+11
22/04/2021,BVSP,,,1,19E+11
23/04/2021,BVSP,,,1,21E+11
26/04/2021,BVSP,,,1,21E+11
27/04/2021,BVSP,,,1,19E+11
28/04/2021,BVSP,,,1,21E+11
29/04/2021,BVSP,,,1,20E+11
30/04/2021,BVSP,,,1,19E+11
03/05/2021,BVSP,,,1,19E+11
04/05/2021,BVSP,,,1,18E+11
05/05/2021,BVSP,,,1,20E+11
06/05/2021,BVSP,,,1,20E+11
07/05/2021,BVSP,,,1,22E+11
10/05/2021,BVSP,,,1,22E+11
11/05/2021,BVSP,,,1,23E+11
13/05/2021,BVSP,,,1,21E+11
14/05/2021,BVSP,,,1,22E+11
17/05/2021,BVSP,,,1,23E+11
18/05/2021,BVSP,,,1,23E+11
19/05/2021,BVSP,,,1,23E+11
20/05/2021,BVSP,,,1,23E+11
21/05/2021,BVSP,,,1,23E+11
24/05/2021,BVSP,,,1,24E+11
25/05/2021,BVSP,,,1,23E+11
26/05/2021,BVSP,,,1,24E+11
27/05/2021,BVSP,,,1,24E+11
28/05/2021,BVSP,,,1,26E+11
31/05/2021,BVSP,,,1,26E+11
01/06/2021,BVSP,,,1,28E+11
02/06/2021,BVSP,,,1,30E+11
04/06/2021,BVSP,,,1,30E+11
07/06/2021,BVSP,,,1,31E+11
08/06/2021,BVSP,,,1,30E+11
09/06/2021,BVSP,,,1,30E+11
10/06/2021,BVSP,,,1,30E+11
11/06/2021,BVSP,,,1,29E+11
14/06/2021,BVSP,,,1,30E+11
15/06/2021,BVSP,,,1,30E+11
16/06/2021,BVSP,,,1,29E+11
17/06/2021,BVSP,,,1,28E+11
18/06/2021,BVSP,,,1,28E+11
21/06/2021,BVSP,,,1,29E+11
22/06/2021,BVSP,,,1,29E+11
23/06/2021,BVSP,,,1,28E+11
24/06/2021,BVSP,,,1,30E+11
25/06/2021,BVSP,,,1,27E+11
28/06/2021,BVSP,,,1,27E+11
29/06/2021,BVSP,,,1,27E+11
30/06/2021,BVSP,,,1,27E+11
01/07/2021,BVSP,,,1,26E+11
02/07/2021,BVSP,,,1,28E+11
05/07/2021,BVSP,,,1,27E+11
06/07/2021,BVSP,,,1,25E+11
07/07/2021,BVSP,,,1,27E+11
08/07/2021,BVSP,,,1,25E+11
13/07/2021,BVSP,,,1,28E+11
14/07/2021,BVSP,,,1,28E+11
15/07/2021,BVSP,,,1,27E+11
16/07/2021,BVSP,,,1,26E+11
19/07/2021,BVSP,,,1,24E+11
20/07/2021,BVSP,,,1,25E+11
21/07/2021,BVSP,,,1,26E+11
22/07/2021,BVSP,,,1,26E+11
23/07/2021,BVSP,,,1,25E+11
26/07/2021,BVSP,,,1,26E+11
27/07/2021,BVSP,,,1,25E+11
28/07/2021,BVSP,,,1,26E+11
29/07/2021,BVSP,,,1,26E+11
30/07/2021,BVSP,,,1,22E+11
02/08/2021,BVSP,,,1,23E+11
03/08/2021,BVSP,,,1,24E+11
04/08/2021,BVSP,,,1,22E+11
05/08/2021,BVSP,,,1,22E+11
06/08/2021,BVSP,,,1,23E+11
09/08/2021,BVSP,,,1,23E+11
10/08/2021,BVSP,,,1,22E+11
11/08/2021,BVSP,,,1,22E+11
13/08/2021,BVSP,,,1,21E+11
16/08/2021,BVSP,,,1,19E+11
17/08/2021,BVSP,,,1,18E+11
18/08/2021,BVSP,,,1,17E+11
19/08/2021,BVSP,,,1,17E+11
20/08/2021,BVSP,,,1,18E+11
23/08/2021,BVSP,,,1,17E+11
24/08/2021,BVSP,,,1,20E+11
25/08/2021,BVSP,,,1,21E+11
26/08/2021,BVSP,,,1,19E+11
27/08/2021,BVSP,,,1,21E+11
30/08/2021,BVSP,,,1,20E+11
31/08/2021,BVSP,,,1,19E+11
01/09/2021,BVSP,,,1,19E+11
02/09/2021,BVSP,,,1,17E+11
03/09/2021,BVSP,,,1,17E+11
06/09/2021,BVSP,,,1,18E+11
08/09/2021,BVSP,,,1,13E+11
09/09/2021,BVSP,,,1,15E+11
10/09/2021,BVSP,,,1,14E+11
13/09/2021,BVSP,,,1,16E+11
14/09/2021,BVSP,,,1,16E+11
15/09/2021,BVSP,,,1,15E+11
16/09/2021,BVSP,,,1,14E+11
17/09/2021,BVSP,,,1,11E+11
20/09/2021,BVSP,,,1,09E+11
21/09/2021,BVSP,,,1,10E+11
22/09/2021,BVSP,,,1,12E+11
23/09/2021,BVSP,,,1,14E+11
24/09/2021,BVSP,,,1,13E+11
27/09/2021,BVSP,,,1,14E+11
28/09/2021,BVSP,,,1,10E+11
29/09/2021,BVSP,,,1,11E+11
30/09/2021,BVSP,,,1,11E+11
01/10/2021,BVSP,,,1,13E+11
04/10/2021,BVSP,,,1,10E+11
05/10/2021,BVSP,,,1,10E+11
06/10/2021,BVSP,,,1,11E+11
07/10/2021,BVSP,,,1,11E+11
08/10/2021,BVSP,,,1,13E+11
11/10/2021,BVSP,,,1,12E+11
13/10/2021,BVSP,,,1,13E+11
14/10/2021,BVSP,,,1,13E+11
15/10/2021,BVSP,,,1,15E+11
18/10/2021,BVSP,,,1,14E+11
19/10/2021,BVSP,,,1,11E+11
20/10/2021,BVSP,,,1,11E+11
21/10/2021,BVSP,,,1,08E+11
22/10/2021,BVSP,,,1,06E+11
25/10/2021,BVSP,,,1,09E+11
26/10/2021,BVSP,,,1,06E+11
27/10/2021,BVSP,,,1,06E+11
28/10/2021,BVSP,,,1,06E+11
29/10/2021,BVSP,,,1,04E+11
01/11/2021,BVSP,,,1,06E+11
03/11/2021,BVSP,,,1,06E+11
04/11/2021,BVSP,,,1,03E+11
05/11/2021,BVSP,,,1,05E+11
08/11/2021,BVSP,,,1,05E+11
09/11/2021,BVSP,,,1,06E+11
10/11/2021,BVSP,,,1,06E+11
11/11/2021,BVSP,,,1,08E+11
12/11/2021,BVSP,,,1,06E+11
